[20250220-173713]     PID    PPID CMD                         %MEM %CPU
[20250220-173713]   15291   15278 /usr/bin/onedrive --monitor  1.4  5.8
[20250220-173713]     944     931 /usr/lib/xorg/Xorg -core :0  1.3  0.1
[20250220-173713]   29694       1 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173713]    1045    1042 /usr/sbin/slick-greeter      0.7  0.1
[20250220-173713]     292       1 /usr/lib/systemd/systemd-jo  0.7  0.0
[20250220-173713]   29712   29694 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173713]    2037       1 /usr/libexec/fwupd/fwupd     0.5  0.0
[20250220-173713]   27064       1 /usr/bin/python3 /usr/bin/g  0.5  0.0
[20250220-173713]     921       1 /usr/sbin/tailscaled --stat  0.4  0.0
[20250220-173718]     PID    PPID CMD                         %MEM %CPU
[20250220-173718]   15291   15278 /usr/bin/onedrive --monitor  1.4  5.8
[20250220-173718]     944     931 /usr/lib/xorg/Xorg -core :0  1.3  0.1
[20250220-173718]   29694       1 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173718]    1045    1042 /usr/sbin/slick-greeter      0.7  0.1
[20250220-173718]     292       1 /usr/lib/systemd/systemd-jo  0.7  0.0
[20250220-173718]   29712   29694 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173718]    2037       1 /usr/libexec/fwupd/fwupd     0.5  0.0
[20250220-173718]   27064       1 /usr/bin/python3 /usr/bin/g  0.5  0.0
[20250220-173718]     921       1 /usr/sbin/tailscaled --stat  0.4  0.0
[20250220-173723]     PID    PPID CMD                         %MEM %CPU
[20250220-173723]   15291   15278 /usr/bin/onedrive --monitor  1.4  5.8
[20250220-173723]     944     931 /usr/lib/xorg/Xorg -core :0  1.3  0.1
[20250220-173723]   29694       1 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173723]    1045    1042 /usr/sbin/slick-greeter      0.7  0.1
[20250220-173723]     292       1 /usr/lib/systemd/systemd-jo  0.7  0.0
[20250220-173723]   29712   29694 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173723]    2037       1 /usr/libexec/fwupd/fwupd     0.5  0.0
[20250220-173723]   27064       1 /usr/bin/python3 /usr/bin/g  0.5  0.0
